Class code,Class descriptor
C203400,Concrete Product Manufacturing
C209000,Other Non-Metallic Mineral Product Manufacturing
C211000,Iron Smelting and Steel Manufacturing
C212100,Iron and Steel Casting
C212200,Steel Pipe and Tube Manufacturing
C213100,Alumina Production
C213200,Aluminium Smelting
C213300,"Copper, Silver, Lead, and Zinc Smelting and Refining"
C213900,Other Basic Non-Ferrous Metal Manufacturing
C214100,Non-Ferrous Metal Casting
C214200,"Aluminium Rolling, Drawing, Extruding"
C214900,Other Basic Non-Ferrous Metal Product Manufacturing
C221000,Iron and Steel Forging
C222100,Structural Steel Fabricating
C222200,Prefabricated Metal Building Manufacturing
C222300,Architectural Aluminium Product Manufacturing
C222400,Metal Roof and Guttering Manufacturing (except Aluminium)
C222900,Other Structural Metal Product Manufacturing
C223100,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing"
C223900,Other Metal Container Manufacturing
C224000,Other Sheet Metal Product Manufacturing
C229100,Spring and Wire Product Manufacturing
C229200,"Nut, Bolt, Screw and Rivet Manufacturing"
C229300,Metal Coating and Finishing
C229900,Other Fabricated Metal Product Manufacturing n.e.c.
C231100,Motor Vehicle Manufacturing
C231200,Motor Vehicle Body and Trailer Manufacturing
C231300,Automotive Electrical Components Manufacturing
C231900,Other Motor Vehicle Parts Manufacturing
C239100,Shipbuilding and Repair Services
C239200,Boatbuilding and Repair Services
C239300,Railway Rolling Stock Manufacturing and Repair Services
C239400,Aircraft Manufacturing and Repair Services
C239900,Other Transport Equipment Manufacturing n.e.c.
C241100,"Photographic, Optical and Ophthalmic Equipment Manufacturing"
C241200,Medical and Surgical Equipment Manufacturing
C241900,Other Professional and Scientific Equipment Manufacturing
C242100,Computer and Electronic Office Equipment Manufacturing
C242200,Communications Equipment Manufacturing
C242900,Other Electronic Equipment Manufacturing
C243100,Electric Cable and Wire Manufacturing
C243200,Electric Lighting Equipment Manufacturing
C243900,Other Electrical Equipment Manufacturing
C244100,Whiteware Appliance Manufacturing
C244900,Other Domestic Appliance Manufacturing
C245100,Pumps and Compressors Manufacturing
C245200,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing"
C246100,Agricultural Machinery and Equipment Manufacturing
C246200,Mining and Construction Machinery Manufacturing
C246300,Machine Tool and Parts Manufacturing
C246900,Other Specialised Machinery and Equipment Manufacturing
C249100,Lifting and Material Handling Equipment Manufacturing
C249900,Other Machinery and Equipment Manufacturing n.e.c.
C251100,Wooden Furniture and Upholstered Seat Manufacturing
C251200,Metal Furniture Manufacturing
C251300,Mattress Manufacturing
C251900,Other Furniture Manufacturing
C259100,Jewellery and Silverware Manufacturing
C259200,"Toy, Sporting and Recreational Product Manufacturing"
C259900,Other Manufacturing n.e.c.
D261100,Fossil Fuel Electricity Generation
D261200,Hydro-electricity Generation
D261900,Other Electricity Generation
D262000,Electricity Transmission
D263000,Electricity Distribution
D264000,On Selling Electricity and Electricity Market Operation
D270000,Gas Supply
D281100,Water Supply
D281200,Sewerage and Drainage Services
D291100,Solid Waste Collection Services
D291900,Other Waste Collection Services
D292100,Waste Treatment and Disposal Services
D292200,Waste Remediation and Materials Recovery Services
E301100,House Construction
E301900,Other Residential Building Construction
E302000,Non-Residential Building Construction
E310100,Road and Bridge Construction
E310900,Other Heavy and Civil Engineering Construction
E321100,Land Development and Subdivision
E321200,Site Preparation Services
E322100,Concreting Services
E322200,Bricklaying Services
E322300,Roofing Services
E322400,Structural Steel Erection Services
E323100,Plumbing Services
E323200,Electrical Services
E323300,Air Conditioning and Heating Services
E323400,Fire and Security Alarm Installation Services
E323900,Other Building Installation Services
E324100,Plastering and Ceiling Services
E324200,Carpentry Services
E324300,Tiling and Carpeting Services
E324400,Painting and Decorating Services
E324500,Glazing Services
E329100,Landscape Construction Services
E329200,Hire of Construction Machinery with Operator
E329900,Other Construction Services n.e.c.
F331100,Wool Wholesaling
F331200,Cereal Grain Wholesaling
F331900,Other Agricultural Product Wholesaling
F332100,Petroleum Product Wholesaling
F332200,Metal and Mineral Wholesaling
F332300,Industrial and Agricultural Chemical Product Wholesaling
F333100,Timber Wholesaling
F333200,Plumbing Goods Wholesaling
F333900,Other Hardware Goods Wholesaling
F341100,Agricultural and Construction Machinery Wholesaling
F341900,Other Specialised Industrial Machinery and Equipment Wholesaling
F349100,Professional and Scientific Goods Wholesaling
F349200,Computer and Computer Peripherals Wholesaling
F349300,Telecommunication Goods Wholesaling
F349400,Other Electrical and Electronic Goods Wholesaling
F349900,Other Machinery and Equipment Wholesaling n
F350100,Car Wholesaling
F350200,Commercial Vehicle Wholesaling
F350300,Trailer and Other Motor Vehicle Wholesaling
F350400,Motor Vehicle New Part Wholesaling
F350500,Motor Vehicle Dismantling and Used Part Wholesaling
F360100,General Line Groceries Wholesaling
F360200,"Meat, Poultry and Smallgoods Wholesaling"
F360300,Dairy Produce Wholesaling
F360400,Fish and Seafood Wholesaling
F360500,Fruit and Vegetable Wholesaling
F360600,Liquor and Tobacco Product Wholesaling
F360900,Other Grocery Wholesaling
F371100,Textile Product Wholesaling
F371200,Clothing and Footwear Wholesaling
F372000,Pharmaceutical and Toiletry Goods Wholesaling
F373100,Furniture and Floor Coverings Wholesaling
F373200,Jewellery and Watch Wholesaling
F373300,Kitchen and Dining Ware Wholesaling
F373400,Toy and Sporting Goods Wholesaling
F373500,Book and Magazine Wholesaling
F373600,Paper Product Wholesaling
F373900,Other Goods Wholesaling n.e.c.
F380000,Commission Based Wholesaling
G391100,Car Retailing
G391200,Motor Cycle Retailing
G391300,Trailer and Other Motor Vehicle Retailing
G392100,Motor Vehicle Parts Retailing
G392200,Tyre Retailing
G400000,Fuel Retailing
G411000,Supermarket and Grocery Stores
G412100,"Fresh Meat, Fish and Poultry Retailing"
G412200,Fruit and Vegetable Retailing
G412300,Liquor Retailing
G412900,Other Specialised Food Retailing
G421100,Furniture Retailing
G421200,Floor Coverings Retailing
G421300,Houseware Retailing
G421400,Manchester and Other Textile Goods Retailing
G422100,"Electrical, Electronic and Gas Appliance Retailing"
G422200,Computer and Computer Peripherals Retailing
G422900,Other Electrical and Electronic Goods Retailing
G423100,Hardware and Building Supplies Retailing
G423200,Garden Supplies Retailing
G424100,Sport and Camping Equipment Retailing
G424200,Entertainment Media Retailing
G424300,Toy and Game Retailing
G424400,Newspaper and Book Retailing
G424500,Marine Equipment Retailing
G425100,Clothing Retailing
G425200,Footwear Retailing
G425300,Watch and Jewellery Retailing
G425900,Other Personal Accessories Retailing
G426000,Department Stores
G427100,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing"
G427200,Stationery Goods Retailing
G427300,Antique and Used Goods Retailing
G427400,Flower Retailing
G427900,Other Store-Based Retailing n.e.c.
G431000,Non Store Retailing
G432000,Retail Commission Based Buying and/or Selling
H440000,Accommodation
H451100,Cafes and Restaurants
H451200,Takeaway Food Services
H451300,Catering Services
H452000,"Pubs, Taverns and Bars"
H453000,Clubs (Hospitality)
I461000,Road Freight Transport
I462100,Interurban and Rural Bus Transport
I462200,Urban Bus Transport (Including Tramway)
I462300,Taxi and Other Road Transport
I471000,Rail Freight Transport
I472000,Rail Passenger Transport
I481000,Water Freight Transport
I482000,Water Passenger Transport
I490000,Air and Space Transport
I501000,Scenic and Sightseeing Transport
I502100,Pipeline Transport
I502900,Other Transport n.e.c.
I510100,Postal Services
I510200,Courier Pick-up and Delivery Services
I521100,Stevedoring Services
I521200,Port and Water Transport Terminal Operations
I521900,Other Water Transport Support Services
I522000,Airport Operations and Other Air Transport Support Services
I529100,Customs Agency Services
I529200,Freight Forwarding Services
I529900,Other Transport Support Services n.e.c
I530100,Grain Storage Services
I530900,Other Warehousing and Storage Services
J541100,Newspaper Publishing
J541200,Magazine and Other Periodical Publishing
J541300,Book Publishing
J541400,Directory and Mailing List Publishing
J541900,"Other Publishing (except Software, Music and Internet)"
J542000,Software Publishing
J551100,Motion Picture and Video Production
J551200,Motion Picture and Video Distribution
J551300,Motion Picture Exhibition
J551400,Postproduction Services and Other Motion Picture and Video Activities
J552100,Music Publishing
J552200,Music and Other Sound Recording Activities
J561000,Radio Broadcasting
J562100,Free-to-Air Television Broadcasting
J562200,Cable and Other Subscription Programming
J570000,Internet Publishing and Broadcasting
J580100,Wired Telecommunications Network Operation
J580200,Other Telecommunications Network Operation
J580900,Other Telecommunications Services
J591000,Internet Access Services
J592100,Data Processing and Web Hosting Services
J592200,Electronic Information Storage Services
J601000,Libraries and Archives
J602000,Other Information Services
K621000,Central Banking
K622100,Banking
K622200,Building Society Operation
K622300,Credit Union Operation
K622900,Other Depository Financial Intermediation
K623000,Non-depository Financing
K624000,Financial Asset Investing
K631000,Life Insurance
K632100,Health Insurance
K632200,General Insurance
K633000,Superannuation Funds
K641100,Financial Asset Broking Services
K641900,Other Auxiliary Finance and Investment Services
K642000,Auxiliary Insurance Services
L661100,Passenger Car Rental and Hiring
L661900,Other Motor Vehicle and Transport Equipment Rental and Hiring
L662000,Farm Animals and Bloodstock Leasing
L663100,Heavy Machinery and Scaffolding Rental and Hiring
L663200,Video and Other Electronic Media Rental
L663900,Other Goods and Equipment Rental and Hiring n.e.c.
L664000,Non-Financial Intangible Assets (except Copyrights) Leasing
L671100,Residential Property Operators
L671200,Non-Residential Property Operators
L672000,Real Estate Services
M691000,Scientific Research Services
M692100,Architectural Services
M692200,Surveying and Mapping Services
M692300,Engineering Design and Engineering Consulting Services
M692400,Other Specialised Design Services
M692500,Scientific Testing and Analysis Services
M693100,Legal Services
M693200,Accounting Services
M694000,Advertising Services
M695000,Market Research and Statistical Services
M696100,Corporate Head Office Management Services
M696200,Management Advice and Other Consulting Services
M697000,Veterinary Services
M699100,Professional Photographic Services
M699900,"Other Professional, Scientific and Technical Services n.e.c."
M700000,Computer Systems Design and Related Services
N721100,Employment Placement and Recruitment Services
N721200,Labour Supply Services
N722000,Travel Agency and Tour Arrangement Services
N729100,Office Administrative Services
N729200,Document Preparation Services
N729300,Credit Reporting and Debt Collection Services
N729400,Call Centre Operation
N729900,Other Administrative Services n.e.c.
N731100,Buildings Cleaning Services
N731200,Buildings Pest Control Services
N731300,Gardening Services
N732000,Packaging Services
O751000,Central Government Administration
O752000,State Government Administration
O753000,Local Government Administration
O754000,Justice
O755100,Domestic Government Representation
O755200,Foreign Government Representation
O760000,Defence
O771100,Police Services
O771200,Investigation and Security Services
O771300,Fire Protection and Other Emergency Services (except Ambulance Services)
O771400,Correctional and Detention Services
O771900,Other Public Order and Safety Services
O772000,Regulatory Services
P801000,Preschool Education
P802100,Primary Education
P802200,Secondary Education
P802300,Combined Primary and Secondary Education
P802400,Special School Education
P810100,Technical and Vocational Education and Training
P810200,Higher Education
P821100,Sports and Physical Recreation Instruction
P821200,Arts Education
P821900,"Adult, Community and Other Education n.e.c."
P822000,Educational Support Services
Q840100,Hospitals (except Psychiatric Hospitals)
Q840200,Psychiatric Hospitals
Q851100,General Practice Medical Services
Q851200,Specialist Medical Services
Q852000,Pathology and Diagnostic Imaging Services
Q853100,Dental Services
Q853200,Optometry and Optical Dispensing
Q853300,Physiotherapy Services
Q853400,Chiropractic and Osteopathic Services
Q853900,Other Allied Health Services
Q859100,Ambulance Services
Q859900,Other Health Care Services n.e.c.
Q860100,Aged Care Residential Services
Q860900,Other Residential Care Services
Q871000,Child Care Services
Q879000,Other Social Assistance Services
R891000,Museum Operation
R892100,Zoological and Botanic Gardens Operation
R892200,Nature Reserves and Conservation Parks Operation
R900100,Performing Arts Operation
R900200,"Creative Artists, Musicians, Writers and Performers"
R900300,Performing Arts Venue Operation
R911100,Health and Fitness Centres and Gymnasia Operation
R911200,Sport and Physical Recreation Clubs and Sports Professionals
R911300,"Sports and Physical Recreation Venues, Grounds and Facilities Operation"
R911400,Sport and Physical Recreation Administrative Service
R912100,Horse and Dog Racing Administration and Track Operation
R912900,Other Horse and Dog Racing Activities
R913100,Amusement Parks and Centres Operation
R913900,Amusement and Other Recreation Activities n.e.c.
R920100,Casino Operation
R920200,Lottery Operation
R920900,Other Gambling Activities
S941100,Automotive Electrical Services
S941200,"Automotive Body, Paint and Interior Repair"
S941900,Other Automotive Repair and Maintenance
S942100,Domestic Appliance Repair and Maintenance
S942200,Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance
S942900,Other Machinery and Equipment Repair and Maintenance
S949100,Clothing and Footwear Repair
S949900,Other Repair and Maintenance n.e.c.
S951100,Hairdressing and Beauty Services
S951200,Diet and Weight Reduction Centre Operation
S952000,"Funeral, Crematorium and Cemetery Services"
S953100,Laundry and Dry-Cleaning Services
S953200,Photographic Film Processing
S953300,Parking Services
S953400,Brothel Keeping and Prostitution Services
S953900,Other Personal Services n.e.c.
S954000,Religious Services
S955100,Business and Professional Association Services
S955200,Labour Association Services
S955900,Other Interest Group Services n.e.c.
S960100,Private Households Employing Staff
S960200,Undifferentiated Goods-Producing Activities of Private Households for Own Use
S960300,Undifferentiated Service-Producing Activities of Private Households for Own Use
T994000,Don't Know
T995000,Refused to Answer
T997000,Response Unidentifiable
T998000,Response Outside Scope
T999999,Not Stated
