Class code,Class descriptor
5102,Courier Pick-up and Delivery Services
5211,Stevedoring Services
5212,Port and Water Transport Terminal Operations
5219,Other Water Transport Support Services
5220,Airport Operations and Other Air Transport Support Services
5291,Customs Agency Services
5292,Freight Forwarding Services
5299,Other Transport Support Services n.e.c
5301,Grain Storage Services
5309,Other Warehousing and Storage Services
5411,Newspaper Publishing
5412,Magazine and Other Periodical Publishing
5413,Book Publishing
5414,Directory and Mailing List Publishing
5419,"Other Publishing (except Software, Music and Internet)"
5420,Software Publishing
5511,Motion Picture and Video Production
5512,Motion Picture and Video Distribution
5513,Motion Picture Exhibition
5514,Postproduction Services and Other Motion Picture and Video Activities
5521,Music Publishing
5522,Music and Other Sound Recording Activities
5610,Radio Broadcasting
5621,Free-to-Air Television Broadcasting
5622,Cable and Other Subscription Programming
5700,Internet Publishing and Broadcasting
5801,Wired Telecommunications Network Operation
5802,Other Telecommunications Network Operation
5809,Other Telecommunications Services
5910,Internet Access Services
5921,Data Processing and Web Hosting Services
5922,Electronic Information Storage Services
6010,Libraries and Archives
6020,Other Information Services
6210,Central Banking
6221,Banking
6222,Building Society Operation
6223,Credit Union Operation
6229,Other Depository Financial Intermediation
6230,Non-depository Financing
6240,Financial Asset Investing
6310,Life Insurance
6321,Health Insurance
6322,General Insurance
6330,Superannuation Funds
6411,Financial Asset Broking Services
6419,Other Auxiliary Finance and Investment Services
6420,Auxiliary Insurance Services
6611,Passenger Car Rental and Hiring
6619,Other Motor Vehicle and Transport Equipment Rental and Hiring
6620,Farm Animals and Bloodstock Leasing
6631,Heavy Machinery and Scaffolding Rental and Hiring
6632,Video and Other Electronic Media Rental
6639,Other Goods and Equipment Rental and Hiring n.e.c.
6640,Non-Financial Intangible Assets (except Copyrights) Leasing
6711,Residential Property Operators
6712,Non-Residential Property Operators
6720,Real Estate Services
6910,Scientific Research Services
6921,Architectural Services
6922,Surveying and Mapping Services
6923,Engineering Design and Engineering Consulting Services
6924,Other Specialised Design Services
6925,Scientific Testing and Analysis Services
6931,Legal Services
6932,Accounting Services
6940,Advertising Services
6950,Market Research and Statistical Services
6961,Corporate Head Office Management Services
6962,Management Advice and Other Consulting Services
6970,Veterinary Services
6991,Professional Photographic Services
6999,"Other Professional, Scientific and Technical Services n.e.c."
7000,Computer Systems Design and Related Services
7211,Employment Placement and Recruitment Services
7212,Labour Supply Services
7220,Travel Agency and Tour Arrangement Services
7291,Office Administrative Services
7292,Document Preparation Services
7293,Credit Reporting and Debt Collection Services
7294,Call Centre Operation
7299,Other Administrative Services n.e.c.
7311,Buildings Cleaning Services
7312,Buildings Pest Control Services
7313,Gardening Services
7320,Packaging Services
7510,Central Government Administration
7520,State Government Administration
7530,Local Government Administration
7540,Justice
7551,Domestic Government Representation
7552,Foreign Government Representation
7600,Defence
7711,Police Services
7712,Investigation and Security Services
7713,Fire Protection and Other Emergency Services (except Ambulance Services)
7714,Correctional and Detention Services
7719,Other Public Order and Safety Services
7720,Regulatory Services
8010,Preschool Education
8021,Primary Education
8022,Secondary Education
8023,Combined Primary and Secondary Education
8024,Special School Education
8101,Technical and Vocational Education and Training
8102,Higher Education
8211,Sports and Physical Recreation Instruction
8212,Arts Education
8219,"Adult, Community and Other Education n.e.c."
8220,Educational Support Services
8401,Hospitals (except Psychiatric Hospitals)
8402,Psychiatric Hospitals
8511,General Practice Medical Services
8512,Specialist Medical Services
8520,Pathology and Diagnostic Imaging Services
8531,Dental Services
8532,Optometry and Optical Dispensing
8533,Physiotherapy Services
8534,Chiropractic and Osteopathic Services
8539,Other Allied Health Services
8591,Ambulance Services
8599,Other Health Care Services n.e.c.
8601,Aged Care Residential Services
8609,Other Residential Care Services
8710,Child Care Services
8790,Other Social Assistance Services
8910,Museum Operation
8921,Zoological and Botanic Gardens Operation
8922,Nature Reserves and Conservation Parks Operation
9001,Performing Arts Operation
9002,"Creative Artists, Musicians, Writers and Performers"
9003,Performing Arts Venue Operation
9111,Health and Fitness Centres and Gymnasia Operation
9112,Sport and Physical Recreation Clubs and Sports Professionals
9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation"
9114,Sport and Physical Recreation Administrative Service
9121,Horse and Dog Racing Administration and Track Operation
9129,Other Horse and Dog Racing Activities
9131,Amusement Parks and Centres Operation
9139,Amusement and Other Recreation Activities n.e.c.
9201,Casino Operation
9202,Lottery Operation
9209,Other Gambling Activities
9411,Automotive Electrical Services
9412,"Automotive Body, Paint and Interior Repair"
9419,Other Automotive Repair and Maintenance
9421,Domestic Appliance Repair and Maintenance
9422,Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance
9429,Other Machinery and Equipment Repair and Maintenance
9491,Clothing and Footwear Repair
9499,Other Repair and Maintenance n.e.c.
9511,Hairdressing and Beauty Services
9512,Diet and Weight Reduction Centre Operation
9520,"Funeral, Crematorium and Cemetery Services"
9531,Laundry and Dry-Cleaning Services
9532,Photographic Film Processing
9533,Parking Services
9534,Brothel Keeping and Prostitution Services
9539,Other Personal Services n.e.c.
9540,Religious Services
9551,Business and Professional Association Services
9552,Labour Association Services
9559,Other Interest Group Services n.e.c.
9601,Private Households Employing Staff
9602,Undifferentiated Goods-Producing Activities of Private Households for Own Use
9603,Undifferentiated Service-Producing Activities of Private Households for Own Use
